cell,precision,traj_id,step_idx,n_steps,actor,n_tokens,n_content_tokens,U_all,U_stopfilter,U_content,mean_prob,label_fail
qwen14B-int4_retail_50runs,bf16,4410334e-ace0-4df5-83e4-02fec4bb7d2f,2,22,agent,105,32,1.6195593457759732,1.8359694919148304,3.019578879699111,0.5836274112245871,0
qwen14B-int4_retail_50runs,bf16,4410334e-ace0-4df5-83e4-02fec4bb7d2f,4,22,agent,74,16,3.215684488170761,3.027733671997536,6.656119983643293,0.49710157787364795,0
qwen14B-int4_retail_50runs,bf16,4410334e-ace0-4df5-83e4-02fec4bb7d2f,6,22,agent,52,18,0.9866866276204729,1.2753601709645928,1.4134454768564966,0.6908121870569826,0
qwen14B-int4_retail_50runs,bf16,4410334e-ace0-4df5-83e4-02fec4bb7d2f,8,22,agent,227,67,0.6174114339238491,0.6296728551427283,1.2833906885848116,0.6999056549967327,0
qwen14B-int4_retail_50runs,bf16,4410334e-ace0-4df5-83e4-02fec4bb7d2f,10,22,agent,62,14,3.489783554158942,3.2726786154655945,7.162642793995993,0.44178633544836127,0
qwen14B-int4_retail_50runs,bf16,4410334e-ace0-4df5-83e4-02fec4bb7d2f,12,22,agent,160,30,0.33370818809436875,0.3328904080799546,1.06548260251681,0.8110192280674202,0
qwen14B-int4_retail_50runs,bf16,4410334e-ace0-4df5-83e4-02fec4bb7d2f,14,22,agent,248,48,0.4559328616727004,0.3678066564024486,1.1389752789400518,0.7879099843523771,0
qwen14B-int4_retail_50runs,bf16,4410334e-ace0-4df5-83e4-02fec4bb7d2f,16,22,agent,283,34,0.2924599960080793,0.21231426429464953,0.975844365051564,0.8645033181079406,0
qwen14B-int4_retail_50runs,bf16,4410334e-ace0-4df5-83e4-02fec4bb7d2f,18,22,agent,135,16,1.6474364081748507,1.5516688694432783,7.237790857907385,0.7418890760250312,0
qwen14B-int4_retail_50runs,bf16,4410334e-ace0-4df5-83e4-02fec4bb7d2f,20,22,agent,175,30,0.4013657153270545,0.4153681336729386,1.2441379368305205,0.8140201113956901,0
qwen14B-int4_retail_50runs,bf16,6d320d4a-98b5-42a1-b9d5-05305aef3ae9,2,26,agent,37,14,4.19558069238523,5.335501918418123,5.964459268110139,0.3859260676566744,1
qwen14B-int4_retail_50runs,bf16,6d320d4a-98b5-42a1-b9d5-05305aef3ae9,4,26,agent,62,17,0.4252220917285683,0.4327927402450206,0.8127432509380228,0.7550396463435652,1
qwen14B-int4_retail_50runs,bf16,6d320d4a-98b5-42a1-b9d5-05305aef3ae9,6,26,agent,67,22,1.0387401122368485,1.129962253334588,1.642949295992201,0.5929384189629183,1
